source_pdf,institute_code,institute_name,course_code,academic_year,cap_round,candidate_type,category,seat_type,university_type,cutoff_value,cutoff_unit,raw_row_text,page_number,allotment_type,row_hash
088e3b17100f-PG_MCA_CAP4_Cutoff_All_Institutes_2025_26.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,4,Maharashtra,GOPENH,GOPENH,HU,74.782248,percentile,GOPENH | 8120 | 74.782248 | Stage-I,1,Home University Seats Allotted to Home University Candidates,68ba0285a20a13c3aa9c60874cab16bee85ad9514b64aa65e02a6fc5a9ae68c6
088e3b17100f-PG_MCA_CAP4_Cutoff_All_Institutes_2025_26.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,4,Maharashtra,GSCH,GSCH,HU,31.6629561,percentile,GSCH | 19682 | 31.6629561 | Stage-I,1,Home University Seats Allotted to Home University Candidates,763ba43b8d762e7095967f487522b49dbc32ce12bd5d26d14ad1869e4293743b
088e3b17100f-PG_MCA_CAP4_Cutoff_All_Institutes_2025_26.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,4,Maharashtra,GNTBH,GNTBH,HU,34.5198145,percentile,GNTBH | 18929 | 34.5198145 | Stage-I,1,Home University Seats Allotted to Home University Candidates,2d13ae20def4caafef372aee9a365afd67b854d416712ccebf0e22e21a356903
088e3b17100f-PG_MCA_CAP4_Cutoff_All_Institutes_2025_26.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,4,Maharashtra,GNTDH,GNTDH,HU,71.1549338,percentile,GNTDH | 9204 | 71.1549338 | Stage-I,1,Home University Seats Allotted to Home University Candidates,ddb591e54fd65eff2605d0dddfe4948ae56b986b782937e26de92ad5b18d4b0a
088e3b17100f-PG_MCA_CAP4_Cutoff_All_Institutes_2025_26.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,4,Maharashtra,GOPENO,GOPENO,HU,29.9046039,percentile,GOPENO | 19873 | 29.9046039 | Stage-I,1,Other Than Home University Seats Allotted to Other Than Home University Candidates,9267491378a8d882ade7747857baaeee7ce7bdd22d3ba28e99b7a83fa71bff76
088e3b17100f-PG_MCA_CAP4_Cutoff_All_Institutes_2025_26.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,4,Maharashtra,GSTO,GSTO,HU,21.0059952,percentile,GSTO | 22077 | 21.0059952 | Stage-I,1,Other Than Home University Seats Allotted to Other Than Home University Candidates,98bacc3805bec192b2f625c12ddd7b73933894d8b9bd711b9c214956eb9422bb
088e3b17100f-PG_MCA_CAP4_Cutoff_All_Institutes_2025_26.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,4,Maharashtra,GSCO,GSCO,HU,7.9446476,percentile,GSCO | 24257 | 7.9446476 | Stage-I,1,Other Than Home University Seats Allotted to Home University Candidates,36c97403fad0c3eb19bdf1bc683816a7d08c6778e0f2f71d98e3148dc3c43397
088e3b17100f-PG_MCA_CAP4_Cutoff_All_Institutes_2025_26.pdf,1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110224110,2025-26,4,Maharashtra,GOPENH,GOPENH,HU,76.9216256,percentile,GOPENH | 7837 | 76.9216256 | Stage-I,2,Home University Seats Allotted to Home University Candidates,ff967446ec7eea819abc6e8f5e74776a6422e5ae84f7a2fe69e17ae3d4d40ca2
088e3b17100f-PG_MCA_CAP4_Cutoff_All_Institutes_2025_26.pdf,1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110224110,2025-26,4,Maharashtra,GOPENO,GOPENO,HU,13.5402134,percentile,GOPENO | 23181 | 13.5402134 | Stage-I,2,Other Than Home University Seats Allotted to Other Than Home University Candidates,a21ab63f80100648d70fd1a3887a0ff460e88bed0f8c27b924dd282890cf7fb4
088e3b17100f-PG_MCA_CAP4_Cutoff_All_Institutes_2025_26.pdf,1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110224110,2025-26,4,Maharashtra,GOPENO,GOPENO,HU,63.1574978,percentile,GOPENO | 11811 | 63.1574978 | Stage-I,2,Other Than Home University Seats Allotted to Home University Candidates,5b340be02489b26940d536f0f0128c80a653268f403985162d4f2d1aa806669b
